run_accession	sample_accession	collection_date	fastq_ftp	country
SRR18381574	SAMN26811775	2021-10-10	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/074/SRR18381574/SRR18381574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/074/SRR18381574/SRR18381574_2.fastq.gz	Australia
SRR18381575	SAMN26811774	2021-11-03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/075/SRR18381575/SRR18381575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/075/SRR18381575/SRR18381575_2.fastq.gz	Australia
SRR18381576	SAMN26811773	2021-10-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/076/SRR18381576/SRR18381576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/076/SRR18381576/SRR18381576_2.fastq.gz	Australia
SRR18381577	SAMN26811772	2021-10-11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/077/SRR18381577/SRR18381577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/077/SRR18381577/SRR18381577_2.fastq.gz	Australia
SRR18381581	SAMN26811802	2021-11-21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/081/SRR18381581/SRR18381581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/081/SRR18381581/SRR18381581_2.fastq.gz	Australia
SRR18381582	SAMN26811801	2021-11-02	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/082/SRR18381582/SRR18381582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/082/SRR18381582/SRR18381582_2.fastq.gz	Australia
SRR18381583	SAMN26811800	2021-10-07	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/083/SRR18381583/SRR18381583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/083/SRR18381583/SRR18381583_2.fastq.gz	Australia
SRR18381585	SAMN26811798	2021-11-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/085/SRR18381585/SRR18381585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/085/SRR18381585/SRR18381585_2.fastq.gz	Australia
SRR18381587	SAMN26811770	2021-10-09	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/087/SRR18381587/SRR18381587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/087/SRR18381587/SRR18381587_2.fastq.gz	Australia
SRR18381588	SAMN26811796	2021-11-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/088/SRR18381588/SRR18381588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/088/SRR18381588/SRR18381588_2.fastq.gz	Australia
